codigo_tpca,nombre,categoria_id,categoria_nombre,energia_kcal,energia_kj,agua_g,proteinas_g,grasas_totales_g,carbohidratos_totales_g,carbohidratos_disponibles_g,fibra_dietaria_g,cenizas_g,calcio_mg,fosforo_mg,zinc_mg,hierro_mg,sodio_mg,potasio_mg,vitamina_c_mg,tiamina_mg,riboflavina_mg,niacina_mg,acido_folico_ug,indice_glucemico,nivel_recomendacion,es_apto_diabeticos
B 31,Col blanca,2,"Verduras, hortalizas y derivados",19.0,81.0,93.3,1.0,1.1,4.2,2.3,1.9,0.5,46.0,46.0,0.18,0.44,6.0,250.0,31.4,0.06,0.03,0.18,,,RECOMENDADO,True
B 32,"Col crespa o repollo, sin cogollo",2,"Verduras, hortalizas y derivados",15.0,65.0,92.4,1.5,0.3,4.9,2.6,2.3,0.9,70.0,69.0,0.18,0.4,58.0,250.0,48.5,0.03,0.03,0.33,,0.0,RECOMENDADO,True
B 33,Col china sin tallo,2,"Verduras, hortalizas y derivados",22.0,93.0,91.0,1.8,0.3,5.3,4.3,1.0,1.6,70.0,16.0,0.19,1.5,58.0,250.0,21.6,0.01,0.16,0.66,,,RECOMENDADO,True
B 34,"Col de ""Bruselas""",2,"Verduras, hortalizas y derivados",45.0,188.0,81.3,4.6,0.4,12.3,8.5,3.8,1.4,109.0,11.0,0.42,1.8,58.0,250.0,82.5,0.18,0.17,1.1,,,RECOMENDADO,True
B 35,"Col, hojas de",2,"Verduras, hortalizas y derivados",32.0,132.0,88.1,2.7,0.6,7.6,5.6,2.0,1.0,170.0,42.0,0.44,0.1,58.0,250.0,96.3,0.09,0.06,1.43,,,RECOMENDADO,True
B 36,Col negra,2,"Verduras, hortalizas y derivados",14.0,60.0,91.7,1.7,0.4,5.5,1.9,3.6,0.7,24.0,10.0,0.13,0.2,58.0,250.0,49.3,0.04,0.06,0.31,,,RECOMENDADO,True
B 37,Col silvestre,2,"Verduras, hortalizas y derivados",54.0,226.0,82.9,2.5,0.6,12.1,,,1.9,477.0,47.0,,1.1,58.0,250.0,136.0,0.05,0.06,,,,MODERADO,True
B 38,Coliflor sin tallo y sin hojas,2,"Verduras, hortalizas y derivados",17.0,72.0,91.6,2.2,0.6,4.4,1.9,2.5,1.2,26.0,66.0,0.28,0.6,,,75.3,0.05,0.07,0.49,,,RECOMENDADO,True
B 39,Culantro sin tallo,2,"Verduras, hortalizas y derivados",34.0,142.0,85.6,3.3,1.3,7.0,4.2,2.8,2.8,259.0,63.0,0.5,5.3,,,37.2,0.08,0.27,1.86,,,RECOMENDADO,True
B 40,"Chiclayo, calabaza",2,"Verduras, hortalizas y derivados",16.0,68.0,93.2,0.6,0.1,5.6,3.9,1.7,0.5,13.0,25.0,0.74,0.2,,,3.7,0.08,0.05,0.19,,,RECOMENDADO,True
B 41,Chonta,2,"Verduras, hortalizas y derivados",49.0,205.0,84.9,3.4,0.7,9.7,,,1.3,138.0,109.0,,1.7,,,3.2,0.02,0.12,0.72,,,RECOMENDADO,True
B 42,Escarola,2,"Verduras, hortalizas y derivados",7.0,30.0,93.6,1.2,0.2,3.8,0.7,3.1,1.2,85.0,76.0,0.79,2.0,,,8.6,0.07,0.07,0.47,,,RECOMENDADO,True
B 43,Esparragos,2,"Verduras, hortalizas y derivados",15.0,62.0,93.0,2.2,0.3,3.8,2.1,1.7,0.8,35.0,35.0,0.54,1.33,,,2.32,0.09,0.05,0.82,,,RECOMENDADO,True
B 44,Espinaca blanca,2,"Verduras, hortalizas y derivados",24.0,102.0,89.5,1.9,0.6,6.3,4.1,2.2,1.7,80.0,40.0,0.53,4.6,,,16.4,0.08,0.25,0.65,,15.0,RECOMENDADO,True
B 45,Espinaca negra sin tronco,2,"Verduras, hortalizas y derivados",24.0,100.0,90.0,2.8,0.9,4.9,2.7,2.2,1.4,234.0,45.0,0.53,4.3,,,15.2,0.07,0.2,0.69,,15.0,RECOMENDADO,True
B 46,Frejolito chino germinado,2,"Verduras, hortalizas y derivados",9.0,38.0,96.5,1.4,0.1,1.8,1.5,0.3,0.3,22.0,261.0,,0.86,15.0,,5.42,0.03,0.07,0.97,,28.0,RECOMENDADO,True
B 47,Hierbabuena,2,"Verduras, hortalizas y derivados",41.0,171.0,86.7,3.1,1.0,7.0,,0.0,2.2,206.0,70.0,1.11,9.1,,,2.0,0.06,0.13,1.0,,,RECOMENDADO,True
B 48,Huacatay sin tallo,2,"Verduras, hortalizas y derivados",50.0,211.0,83.4,5.0,0.8,8.8,,,2.0,412.0,79.0,,8.7,,,17.1,0.06,0.27,1.47,,,RECOMENDADO,True
B 49,"Janchoy, hojas de",2,"Verduras, hortalizas y derivados",27.0,113.0,90.8,1.6,0.2,6.0,,,1.4,113.0,55.0,,2.9,,,22.2,0.05,0.13,0.47,,,RECOMENDADO,True
B 50,Jetka. hojas de,2,"Verduras, hortalizas y derivados",66.0,276.0,78.1,7.3,1.7,9.5,,,3.4,548.0,133.0,,8.4,,,0.7,0.3,0.16,2.72,,,RECOMENDADO,True
B 51,"Kailán, hojas de",2,"Verduras, hortalizas y derivados",48.0,201.0,84.9,3.2,0.9,9.1,,,1.9,581.0,46.0,,2.4,,,103.8,0.03,0.26,0.54,,,RECOMENDADO,True
B 52,"Kailán, tallos de",2,"Verduras, hortalizas y derivados",24.0,100.0,92.0,1.2,0.3,5.2,,,1.3,301.0,64.0,,3.1,,,57.6,0.01,0.09,0.94,,,RECOMENDADO,True
B 53,Lechuga americana,2,"Verduras, hortalizas y derivados",7.0,28.0,96.6,0.6,0.1,2.4,1.2,1.2,0.3,52.0,20.0,0.15,0.1,,,1.5,0.02,0.06,0.13,,15.0,RECOMENDADO,True
B 54,Lechuga larga,2,"Verduras, hortalizas y derivados",12.0,49.0,93.4,1.5,0.2,3.9,1.8,2.1,1.0,64.0,63.0,0.23,1.6,,,14.5,0.06,0.08,0.52,,15.0,RECOMENDADO,True
B 55,Lechuga redonda,2,"Verduras, hortalizas y derivados",8.0,32.0,95.7,1.3,0.2,2.1,0.8,1.3,0.7,47.0,49.0,0.18,1.0,,,7.4,0.06,0.05,0.48,,15.0,RECOMENDADO,True
B 56,Manchay,2,"Verduras, hortalizas y derivados",53.0,222.0,84.8,0.4,0.1,14.4,,,0.3,44.0,16.0,,1.3,,,4.0,0.36,0.34,0.61,,,MODERADO,True
B 57,"Mastuerzo, hojas de",2,"Verduras, hortalizas y derivados",44.0,185.0,86.3,1.8,1.3,9.2,8.1,1.1,1.4,211.0,85.0,0.23,1.3,,,25.2,0.09,0.35,1.04,,,RECOMENDADO,True
B 58,"Mostaza, hojas de",2,"Verduras, hortalizas y derivados",21.0,88.0,89.0,3.5,0.6,5.2,2.1,3.1,1.7,478.0,92.0,0.27,1.7,,,70.0,0.29,0.2,0.8,,,RECOMENDADO,True
B 59,"Muña, seca",2,"Verduras, hortalizas y derivados",268.0,1121.0,16.0,3.2,2.8,66.3,,,11.7,2237.0,269.0,,22.4,,,0.0,0.35,1.81,6.85,,,LIMITAR,False
B 60,Nabo,2,"Verduras, hortalizas y derivados",10.0,40.0,94.7,0.6,0.2,3.6,1.8,1.8,0.9,34.0,34.0,0.27,0.1,,,21.1,0.01,0.04,0.23,,,RECOMENDADO,True
B 61,"Nabo, hojas de",2,"Verduras, hortalizas y derivados",24.0,100.0,88.1,2.9,0.4,7.0,3.8,3.2,1.6,367.0,95.0,0.19,2.8,,,49.2,0.12,0.38,2.4,,,RECOMENDADO,True
B 62,Orégano fresco,2,"Verduras, hortalizas y derivados",48.0,201.0,85.1,1.6,0.5,11.3,,,1.5,312.0,46.0,,9.3,,,10.0,0.08,0.3,0.65,,0.0,RECOMENDADO,True
B 63,"Pacchoy, hojas de",2,"Verduras, hortalizas y derivados",25.0,103.0,90.5,1.3,0.3,6.3,5.3,1.0,1.6,235.0,60.0,0.19,3.0,,,50.0,0.05,0.1,0.73,,,RECOMENDADO,True
B 64,"Pacchoy, tallos de",2,"Verduras, hortalizas y derivados",18.0,77.0,92.0,0.4,0.2,5.4,4.4,1.0,2.0,302.0,84.0,0.19,1.2,,,12.0,0.01,0.05,0.53,,,RECOMENDADO,True
B 65,Paico,2,"Verduras, hortalizas y derivados",41.0,170.0,81.7,5.0,1.1,9.2,5.4,3.8,3.0,459.0,65.0,1.1,6.3,,,34.7,0.11,0.42,1.12,,,RECOMENDADO,True
B 66,Pajuro,2,"Verduras, hortalizas y derivados",120.0,502.0,64.4,2.1,0.3,31.5,,,1.7,25.0,105.0,,1.2,,,42.0,0.05,0.22,1.39,,,POR_EVALUAR,True
B 67,Pepinillo sin cáscara,2,"Verduras, hortalizas y derivados",9.0,37.0,96.4,0.5,0.1,2.6,1.9,0.7,0.4,20.0,22.0,0.17,0.3,,,12.6,0.03,0.04,0.09,,,RECOMENDADO,True
B 68,Perejil sin tallo,2,"Verduras, hortalizas y derivados",41.0,172.0,82.0,4.8,0.7,9.9,6.6,3.3,2.6,202.0,76.0,1.07,8.7,,,95.8,0.07,0.32,2.87,,,RECOMENDADO,True
B 69,Pimiento rojo,2,"Verduras, hortalizas y derivados",27.0,114.0,92.3,1.2,1.3,4.6,3.7,0.9,0.6,12.0,24.0,0.25,0.36,6.0,,108.3,0.04,0.11,1.58,,15.0,RECOMENDADO,True
B 70,Pirca,2,"Verduras, hortalizas y derivados",42.0,176.0,86.2,4.0,0.6,7.6,,,1.6,230.0,58.0,,6.0,,,17.0,0.13,0.31,0.82,,,RECOMENDADO,True
B 71,Poro sin hojas,2,"Verduras, hortalizas y derivados",34.0,142.0,87.8,2.7,0.8,7.6,5.8,1.8,1.1,78.0,50.0,0.12,0.7,,,8.6,0.09,0.08,0.46,,,RECOMENDADO,True
B 72,"Quinua, hojas de",2,"Verduras, hortalizas y derivados",50.0,209.0,81.4,4.7,0.6,9.5,,,3.8,377.0,63.0,,1.5,,,11.1,0.06,0.95,1.2,,53.0,RECOMENDADO,True
B 73,Rabanitos,2,"Verduras, hortalizas y derivados",7.0,31.0,95.1,0.8,0.1,2.9,1.3,1.6,1.1,36.0,29.0,0.28,1.0,,,18.6,0.01,0.02,0.29,,,RECOMENDADO,True
B 74,Rabicol,2,"Verduras, hortalizas y derivados",22.0,92.0,92.8,2.0,0.2,4.2,,,0.8,41.0,41.0,,0.3,,,94.1,0.01,0.04,0.43,,,RECOMENDADO,True
B 75,Radicheta o achicoria,2,"Verduras, hortalizas y derivados",17.0,70.0,90.0,1.9,0.5,6.2,2.2,4.0,1.4,273.0,34.0,0.42,,,,9.0,0.07,0.14,0.51,,,RECOMENDADO,True
B 76,Rocoto fresco,2,"Verduras, hortalizas y derivados",36.0,151.0,89.5,1.2,0.5,8.2,,,0.6,6.0,22.0,,0.5,,,14.9,0.01,0.14,1.15,,0.0,RECOMENDADO,True
B 77,Ruda,2,"Verduras, hortalizas y derivados",82.0,343.0,75.4,4.1,1.7,16.1,,,2.7,552.0,72.0,,7.7,,,112.0,,0.76,1.62,,,MODERADO,True
B 78,Siuca culantro,2,"Verduras, hortalizas y derivados",28.0,116.0,87.6,1.9,0.5,8.1,5.3,2.8,1.9,195.0,68.0,0.5,4.9,,,0.7,0.06,0.22,1.0,,,RECOMENDADO,True
B 79,Tomate,2,"Verduras, hortalizas y derivados",15.0,61.0,94.2,0.8,0.2,4.3,3.1,1.2,0.5,7.0,20.0,0.17,0.6,,,18.4,0.04,0.06,0.62,,15.0,RECOMENDADO,True
B 80,Tomate italiano,2,"Verduras, hortalizas y derivados",12.0,51.0,94.8,0.8,0.2,3.6,2.4,1.2,0.6,7.0,25.0,0.17,0.3,2.0,160.0,32.5,0.06,0.06,0.63,,15.0,RECOMENDADO,True
B 81,"Tomate, con carne salsa de",2,"Verduras, hortalizas y derivados",106.0,444.0,77.7,2.7,5.7,11.0,,,2.9,20.0,67.0,,2.1,,,9.4,0.13,,1.1,,15.0,RECOMENDADO,True
B 82,"Tomate, salsa de",2,"Verduras, hortalizas y derivados",18.0,76.0,75.0,1.5,0.7,3.9,2.4,1.5,18.9,117.0,64.0,0.2,3.0,,,0.0,0.1,0.12,0.6,,15.0,RECOMENDADO,True
B 83,"Tomate, salsa concentrada de",2,"Verduras, hortalizas y derivados",75.0,314.0,75.3,2.7,1.0,16.8,,,4.2,19.0,103.0,,2.9,,,26.8,0.12,,1.5,,15.0,RECOMENDADO,True
B 84,Vainitas,2,"Verduras, hortalizas y derivados",25.0,105.0,88.2,2.4,0.3,8.1,4.7,3.4,1.0,88.0,49.0,0.24,1.4,,,9.6,0.07,0.2,0.71,,,RECOMENDADO,True
B 85,Zanahoria,2,"Verduras, hortalizas y derivados",19.0,78.0,90.2,1.0,0.3,7.6,3.6,4.1,0.9,51.0,40.0,0.15,0.3,31.0,95.0,3.23,0.04,0.04,0.18,,47.0,RECOMENDADO,True
B 86,"Zanahoria, harina de",2,"Verduras, hortalizas y derivados",293.0,1226.0,11.8,7.3,1.5,67.7,,,11.7,418.0,384.0,,,,,10.0,0.38,0.33,3.74,,47.0,RECOMENDADO,True
B 87,Zapallo italiano,2,"Verduras, hortalizas y derivados",14.0,59.0,95.4,0.9,0.2,2.9,,,0.6,27.0,34.0,,0.3,,,26.2,0.01,0.33,0.42,,75.0,LIMITAR,False
B 88,Zapallo loche,2,"Verduras, hortalizas y derivados",58.0,242.0,79.8,2.6,0.2,16.2,13.9,2.3,1.1,38.0,30.0,0.4,0.33,17.0,219.0,7.44,0.05,0.08,0.52,,75.0,LIMITAR,False
B 89,Zapallo macre,2,"Verduras, hortalizas y derivados",47.0,195.0,84.4,2.2,0.1,12.7,11.4,1.3,0.7,26.0,17.0,0.23,0.32,0.0,272.0,0.27,0.11,0.0,20.29,0.0,75.0,LIMITAR,False
B 90,"Ají charapita, con pepas y sin tronco",2,"Verduras, hortalizas y derivados",30.0,123.0,82.2,2.4,2.1,12.1,1.7,10.4,1.3,19.0,70.0,1.05,0.4,2.0,337.0,4.26,0.08,0.04,6.5,33.0,15.0,RECOMENDADO,True
B 91,"Ají cerezo, sin pepas y sin tronco",2,"Verduras, hortalizas y derivados",30.0,124.0,86.9,1.8,0.8,9.4,5.2,4.2,1.1,13.0,50.0,0.12,0.36,4.0,360.0,499.41,0.07,0.29,6.19,,15.0,RECOMENDADO,True
B 92,"Ají colorado seco, sin pepas",2,"Verduras, hortalizas y derivados",179.0,746.0,21.1,12.5,6.3,53.5,26.8,26.7,6.7,79.0,190.0,1.12,11.1,21.0,2523.0,19.1,0.08,1.16,1.63,,15.0,RECOMENDADO,True
B 93,Ají uña de pava,2,"Verduras, hortalizas y derivados",57.0,241.0,82.8,3.0,0.7,12.5,,,1.0,,,,,,,,,,,,15.0,RECOMENDADO,True
B 94,Ajos variedad Barranquino,2,"Verduras, hortalizas y derivados",115.0,482.0,59.4,6.2,0.3,32.6,27.2,5.4,1.5,,,0.85,0.57,69.0,250.0,12.3,0.13,0.07,0.09,,,POR_EVALUAR,True
B 95,Ajos variedad Napuri,2,"Verduras, hortalizas y derivados",115.0,482.0,58.6,7.7,0.3,31.8,26.4,5.4,1.6,,,0.82,0.4,69.0,250.0,12.3,0.13,0.07,0.09,,,POR_EVALUAR,True
B 97,"Ajos variedad Napuri fresco, molido en aceite con sal",2,"Verduras, hortalizas y derivados",185.0,775.0,49.3,4.8,5.2,37.2,36.3,0.8,3.5,,,2.49,1.22,,,37.42,0.4,0.21,0.27,,0.0,RECOMENDADO,True
B 99,"Ajos variedad Napuri fresco, molido en agua con sal",2,"Verduras, hortalizas y derivados",84.0,353.0,69.0,5.0,0.3,21.6,19.6,2.0,4.1,,,0.67,0.33,,,9.99,0.11,0.06,0.07,,0.0,RECOMENDADO,True
B 100,Alcaparras****,2,"Verduras, hortalizas y derivados",31.0,131.0,78.6,2.3,0.6,5.8,,,12.7,66.0,8.0,,4.2,,,0.0,0.04,0.15,0.0,,,RECOMENDADO,True
B 101,Cebolla variedad americana,2,"Verduras, hortalizas y derivados",22.0,91.0,91.1,1.4,0.4,6.9,4.4,2.5,0.3,20.0,35.0,0.15,0.21,6.0,168.0,9.84,0.04,0.02,0.59,,10.0,RECOMENDADO,True
B 102,Cebolla variedad perilla,2,"Verduras, hortalizas y derivados",28.0,117.0,89.3,1.4,0.4,8.5,6.0,2.5,0.4,20.0,35.0,0.23,0.22,6.0,168.0,9.84,0.04,0.02,0.59,,10.0,RECOMENDADO,True
B 103,Chijchipa,2,"Verduras, hortalizas y derivados",45.0,188.0,85.3,3.3,0.4,9.3,,,1.7,335.0,57.0,,8.3,,,70.0,0.06,0.43,1.02,,,RECOMENDADO,True
B 104,"Chullcos, ajos silvestres",2,"Verduras, hortalizas y derivados",92.0,385.0,73.7,1.8,0.5,23.5,,,0.5,22.0,56.0,,2.1,,,5.0,0.03,0.1,0.67,,0.0,RECOMENDADO,True
B 105,Col china con hoja y tallo,2,"Verduras, hortalizas y derivados",15.0,62.0,95.1,1.4,1.1,2.0,0.7,1.2,0.5,,,,13.38,32.0,,,0.08,,,,,RECOMENDADO,True
B 106,Coliflor con tallo y sin hojas,2,"Verduras, hortalizas y derivados",20.0,86.0,91.9,2.1,0.6,4.7,2.9,1.8,0.7,,,,0.49,19.0,,,0.08,,,,,RECOMENDADO,True
B 107,"Culantro, con hojas y tallo",2,"Verduras, hortalizas y derivados",15.0,62.0,88.4,3.5,0.2,5.9,1.2,4.7,1.9,135.0,60.0,0.6,4.5,22.0,802.0,4.78,,,,,,RECOMENDADO,True
B 108,"Espinaca, hojas sin tallo",2,"Verduras, hortalizas y derivados",30.0,128.0,86.9,4.8,1.4,4.7,1.9,2.8,2.2,,,,21.29,32.0,,,0.09,,,,15.0,RECOMENDADO,True
B 109,"Estragón, secos",2,"Verduras, hortalizas y derivados",269.0,1126.0,7.7,22.8,7.2,50.2,42.8,7.4,,1139.0,313.0,3.9,32.3,62.0,3020.0,50.0,0.25,1.34,8.95,274.0,,LIMITAR,False
B 110,"Hinojo, tallo, fresco, crudo",2,"Verduras, hortalizas y derivados",19.0,80.0,92.8,1.9,0.2,3.6,,,1.5,,,,,,,15.9,0.04,0.04,0.3,,0.0,RECOMENDADO,True
B 111,Kión sin cáscara,2,"Verduras, hortalizas y derivados",49.0,205.0,84.9,0.1,0.4,13.7,11.8,2.0,0.8,12.0,30.0,0.44,0.25,7.0,356.0,0.93,0.04,0.0,0.35,0.0,,MODERADO,True
B 112,Lechuga de seda,2,"Verduras, hortalizas y derivados",10.0,42.0,95.9,1.3,0.1,2.3,1.7,0.6,,39.0,40.0,,1.3,,,10.0,0.09,0.07,0.31,,15.0,RECOMENDADO,True
B 113,"Llampun Cjana ""Cjana-cjana""",2,"Verduras, hortalizas y derivados",254.0,1061.0,12.1,29.5,6.0,36.8,,,15.6,1600.0,333.0,,41.1,,,0.0,0.61,1.38,,,,POR_EVALUAR,True
B 114,Pacchoy con hojas y tallo,2,"Verduras, hortalizas y derivados",5.0,20.0,96.1,1.0,0.3,1.8,0.1,1.7,0.8,,,,10.14,113.0,,5.22,0.0,,,,,RECOMENDADO,True
B 115,"Paico, hojas de",2,"Verduras, hortalizas y derivados",28.0,117.0,84.1,5.7,0.3,6.6,3.2,3.4,3.2,271.0,20.0,0.94,,38.0,144.0,35.53,0.11,0.27,77.29,,,RECOMENDADO,True
B 116,Pimiento verde,2,"Verduras, hortalizas y derivados",19.0,78.0,93.4,1.1,0.1,5.1,4.3,0.7,0.4,21.0,29.0,0.0,0.17,1.0,176.0,55.0,0.04,0.0,4.61,0.0,15.0,RECOMENDADO,True
B 117,"Rocoto fresco, molido con cáscara, en agua sin sal",2,"Verduras, hortalizas y derivados",17.0,69.0,93.7,0.2,0.1,5.5,4.2,1.4,0.4,10.0,0.0,0.0,0.03,7.0,188.0,1.34,0.05,0.0,0.5,,0.0,RECOMENDADO,True
B 118,Romero fresco*,2,"Verduras, hortalizas y derivados",81.0,338.0,67.8,3.3,5.9,20.7,6.6,14.1,2.4,317.0,66.0,0.93,6.65,26.0,668.0,22.0,0.04,0.15,0.91,0.0,0.0,RECOMENDADO,True
B 119,Tomate de palito,2,"Verduras, hortalizas y derivados",44.0,185.0,86.5,1.6,0.2,10.8,,,0.9,15.0,19.0,,0.8,,,4.9,0.05,0.03,,,15.0,RECOMENDADO,True
B 120,"Tomate redondo, con cáscara",2,"Verduras, hortalizas y derivados",18.0,75.0,93.9,0.7,0.3,4.7,4.0,0.7,0.5,24.0,20.0,0.1,0.45,25.0,139.0,10.18,,,,,15.0,RECOMENDADO,True
B 121,Tomillo seco*,2,"Verduras, hortalizas y derivados",181.0,756.0,7.8,9.1,7.4,63.9,26.9,37.0,11.7,1890.0,201.0,6.18,123.6,55.0,814.0,50.0,0.51,0.4,4.94,0.0,,LIMITAR,False
B 122,Zapallito,2,"Verduras, hortalizas y derivados",57.0,236.0,82.2,1.9,0.1,14.3,,,1.5,17.0,76.0,,0.4,,,11.0,0.12,0.05,,,,MODERADO,True
B 123,Zapallo avinca,2,"Verduras, hortalizas y derivados",15.0,64.0,94.2,0.5,0.0,4.8,3.9,0.9,0.4,34.0,5.0,0.17,0.08,0.0,133.0,0.31,0.0,0.0,2.72,0.0,75.0,LIMITAR,False
B 124,Zapallo criollo,2,"Verduras, hortalizas y derivados",28.0,119.0,91.0,0.6,0.2,7.6,7.1,0.5,0.6,28.0,0.0,1.6,0.4,6.0,140.0,0.1,,,,0.0,75.0,LIMITAR,False
B 125,Zapallo ombligo,2,"Verduras, hortalizas y derivados",21.0,88.0,93.5,0.9,0.2,4.8,,,0.6,34.0,12.0,,0.3,,,7.5,0.01,0.02,,,75.0,LIMITAR,False
B 126,"Atago, hojas sin tallo",2,"Verduras, hortalizas y derivados",15.0,62.0,91.6,2.5,0.2,3.7,1.9,1.8,2.0,,,3.03,5.56,8.0,312.0,45.87,0.0,0.0,3.14,,,RECOMENDADO,True
B 127,"Col morada, hojas sin tallo",2,"Verduras, hortalizas y derivados",24.0,99.0,90.8,1.9,0.1,6.3,5.0,1.3,0.8,63.0,63.0,0.0,0.23,10.0,249.0,14.95,0.06,0.0,4.37,,,RECOMENDADO,True
B 128,"Lechuga morada, hojas sin tallo",2,"Verduras, hortalizas y derivados",11.0,46.0,95.4,1.2,0.1,2.3,1.9,0.4,0.9,50.0,52.0,0.14,2.27,8.0,252.0,23.82,0.0,0.0,2.68,,15.0,RECOMENDADO,True
B 129,"Orégano, seco*",2,"Verduras, hortalizas y derivados",306.0,1280.0,7.2,11.0,10.3,64.4,21.6,42.8,7.2,1576.0,200.0,4.43,44.0,15.0,1669.0,50.0,0.34,0.32,6.22,0.0,,LIMITAR,False
B 130,Pepinillo japonés con cáscara y pepas,2,"Verduras, hortalizas y derivados",7.0,28.0,96.8,0.9,0.0,1.8,1.3,0.6,0.5,15.0,40.0,0.13,0.08,15.0,137.0,12.5,0.01,0.11,1.8,,,RECOMENDADO,True
B 131,Pimiento amarillo,2,"Verduras, hortalizas y derivados",24.0,98.0,92.1,1.0,0.2,6.3,5.5,0.8,0.4,7.0,26.0,0.0,0.18,1.0,195.0,162.47,0.03,0.0,6.37,0.0,15.0,RECOMENDADO,True
B 132,"Tomate italiano, sin pepas, sin cáscara",2,"Verduras, hortalizas y derivados",18.0,73.0,93.9,0.8,0.1,4.9,4.2,0.7,0.3,8.0,29.0,0.0,0.12,3.0,187.0,32.64,0.0,0.0,4.97,,15.0,RECOMENDADO,True
B 133,"Vainita, sancochada, sin sal",2,"Verduras, hortalizas y derivados",17.0,71.0,90.8,2.2,0.1,6.2,3.1,3.1,0.7,48.0,50.0,0.33,1.28,1.0,278.0,0.0,0.05,0.06,0.87,,,RECOMENDADO,True
C 1,Abridores,3,Frutas y derivados,57.0,239.0,82.0,0.8,0.1,16.4,14.9,1.5,0.7,6.0,35.0,0.17,0.4,,,27.5,0.03,0.05,1.17,,0.0,RECOMENDADO,True
C 2,Aceituna de botija,3,Frutas y derivados,298.0,1247.0,57.5,0.8,32.1,7.3,,,2.3,86.0,55.0,,2.4,,,0.0,0.03,0.22,0.8,,15.0,RECOMENDADO,True
C 3,Aceitunas negras preparadas,3,Frutas y derivados,292.0,1224.0,41.0,2.2,22.4,30.3,27.1,3.2,4.1,67.0,63.0,0.22,7.4,,,0.0,0.03,0.24,1.0,,15.0,RECOMENDADO,True
C 4,Airampo,3,Frutas y derivados,51.0,212.0,85.9,1.8,0.5,11.2,,,0.6,85.0,0.0,,,,,,0.01,0.02,24.0,,,MODERADO,True
C 5,"Aguaje, pulpa de",3,Frutas y derivados,74.0,311.0,70.1,1.9,3.6,23.5,10.4,13.1,0.9,48.0,17.0,0.4,0.46,5.0,217.0,1.68,0.05,0.0,0.72,,35.0,RECOMENDADO,True
C 6,Anona,3,Frutas y derivados,45.0,188.0,85.0,1.1,0.4,12.9,10.5,2.4,0.6,16.0,37.0,,0.2,,,3.4,0.07,0.23,0.79,,,MODERADO,True
C 7,Durazno-Melocotón,3,Frutas y derivados,43.0,180.0,86.3,0.8,0.2,12.4,10.8,1.6,0.4,,,,0.59,,,0.77,,,,,,MODERADO,True
C 8,Caimito,3,Frutas y derivados,49.0,205.0,83.5,1.8,0.5,13.6,10.8,2.8,0.6,88.0,19.0,,0.2,,,13.0,0.01,0.02,24.0,,,MODERADO,True
C 9,Camu-camu,3,Frutas y derivados,24.0,100.0,93.3,0.5,0.1,5.9,,,0.2,28.0,15.0,,0.5,,,2780.0,0.01,0.04,0.61,,,RECOMENDADO,True
C 10,Capulí,3,Frutas y derivados,63.0,264.0,82.3,0.7,0.4,15.9,,,0.7,26.0,26.0,,0.9,,,0.0,0.07,0.11,1.45,,,MODERADO,True
C 11,Chambiro,3,Frutas y derivados,118.0,494.0,75.9,1.5,7.3,14.5,,,0.8,47.0,59.0,,0.6,,,4.2,0.08,0.23,0.2,,,MODERADO,True
C 12,Chirimoya,3,Frutas y derivados,72.0,302.0,75.4,1.9,0.3,21.6,17.7,4.0,0.8,102.0,50.0,0.3,0.29,16.0,377.0,10.36,0.09,0.16,1.62,,54.0,RECOMENDADO,True
C 13,Ciruela,3,Frutas y derivados,82.0,343.0,76.3,1.0,0.2,21.5,,,1.0,20.0,53.0,,0.9,,,36.8,0.05,0.06,1.44,,,MODERADO,True
C 14,Coco,3,Frutas y derivados,286.0,1197.0,56.4,3.4,28.1,10.8,,,1.3,8.0,51.0,0.25,1.8,46.0,312.0,0.9,0.02,0.05,0.58,,,MODERADO,True
C 15,"Coco, agua de",3,Frutas y derivados,10.0,43.0,95.5,0.7,0.1,3.1,2.0,1.1,0.6,21.0,7.0,0.1,0.0,,,0.8,0.03,0.01,0.08,,,RECOMENDADO,True
C 16,Cocona,3,Frutas y derivados,42.0,176.0,88.5,0.9,0.7,9.2,,,0.7,16.0,30.0,,1.5,,,4.5,0.06,0.1,2.25,,,RECOMENDADO,True
C 17,Dátiles,3,Frutas y derivados,195.0,817.0,36.8,1.4,0.5,59.8,51.8,8.0,1.5,60.0,29.0,0.29,0.8,,,2.9,0.1,0.09,0.13,,,LIMITAR,False
C 18,Fresa,3,Frutas y derivados,34.0,142.0,89.1,0.7,0.8,8.9,6.9,2.0,0.5,37.0,28.0,0.14,1.2,,,42.0,0.04,0.05,0.26,,0.0,RECOMENDADO,True
C 19,Granada,3,Frutas y derivados,66.0,277.0,80.0,0.5,0.1,18.3,17.7,0.6,1.1,10.0,38.0,0.12,0.3,,,5.2,0.09,0.04,1.56,,,MODERADO,True
C 20,Granadilla,3,Frutas y derivados,51.0,214.0,82.3,2.5,2.7,11.4,5.7,5.8,1.1,17.0,128.0,,1.28,11.0,338.0,9.88,0.11,0.13,2.14,,25.0,RECOMENDADO,True
C 21,"Granadilla, jugo enlatado de",3,Frutas y derivados,62.0,258.0,82.0,1.1,0.0,16.1,,,0.8,6.0,50.0,,0.6,,,129.6,0.0,0.03,,,25.0,RECOMENDADO,True
